race,scale,p25_nation,p50_nation,p75_nation,p25_ne,p50_ne,p75_ne,p25_mw,p50_mw,p75_mw,p25_s,p50_s,p75_s
all,ph,750,1035,1300,780,1064,1300,816,1085,1329,664,875,1144
all,nb,384,850,1500,520,1100,1800,372,820,1450,336,750,1352
all,city ,700,1396,2160,750,1446,2237,768,1440,2189,440,960,1788
white,ph,800,1092,1340,780,1090,1300,936,1200,1450,700,936,1200
white,nb,477,1040,1700,600,1200,1850,500,1100,1750,363,840,1500
white,city ,708,1400,2184,750,1450,2250,780,1480,2200,450,988,1800
aa,ph,676,890,1164,780,1080,1344,720,940.5,1200,640,800,1040
aa,nb,312,708,1248.5,360,920,1560,250,632,1051,321,720,1260
aa,city ,700,1400,2200,780,1500,2340,780,1450,2160,435,938,1750
both,ph,725,960,1200,624,899,1040,796,1000,1200,700,942,1250
both,nb,312,685,1220,360,800,1356,330,728,1250,300,624,1126
both,city ,640,1300,2053,,,,,,,,,
